country_name,year,sentiment
China,2021,0.0
China,2023,0.0
China,2024,0.0
China,2025,0.0
Germany,2025,-0.30782000000000004
Malaysia,2020,0.8225000000000001
Malaysia,2022,-0.16616666666666668
Malaysia,2023,0.1531
Malaysia,2024,-0.262575
Malaysia,2025,-0.16155
Mexico,2020,0.8225000000000001
Mexico,2022,-0.16616666666666668
Mexico,2023,0.1531
Mexico,2024,-0.262575
Mexico,2025,-0.16566186440677969
South Korea,2020,0.8225000000000001
South Korea,2022,-0.16616666666666668
South Korea,2023,0.1531
South Korea,2024,-0.262575
South Korea,2025,-0.16155
United States,2025,-0.10318
Vietnam,2020,0.8225000000000001
Vietnam,2022,-0.16616666666666668
Vietnam,2023,0.1531
Vietnam,2024,-0.262575
Vietnam,2025,-0.16155
