Country Name,Country Code,Time,Time Code,GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Consumer price index (2010 = 100) [FP.CPI.TOTL],"Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]",Merchandise imports (current US$) [TM.VAL.MRCH.CD.WT],S&P Global Equity Indices (annual % change) [CM.MKT.INDX.ZG],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]",Final consumption expenditure (% of GDP) [NE.CON.TOTL.ZS],"Tariff rate, applied, weighted mean, all products (%) [TM.TAX.MRCH.WM.AR.ZS]","Tariff rate, applied, weighted mean, manufactured products (%) [TM.TAX.MANF.WM.AR.ZS]"
China,CHN,2018,YR2018,6.749773832,2.0747904,121.5588779,4.31,2140000000000.0,-20.51548023,1.693894284,55.05768886,3.39,4.29
China,CHN,2019,YR2019,5.950500754,2.899234164,125.0831544,4.56,2080000000000.0,19.2613537,1.310715932,56.01857304,2.53,3.13
China,CHN,2020,YR2020,2.238638356,2.419421895,128.1094436,5.0,2070000000000.0,27.87223339,1.723175549,55.33044578,2.47,2.74
China,CHN,2021,YR2021,8.448469417,0.981015136,129.3662166,4.55,2680000000000.0,-20.64762118,1.930786223,53.92170365,2.31,2.57
China,CHN,2022,YR2022,2.95066993,1.973575557,131.9193567,4.98,2710000000000.0,-23.62484357,1.06367353,53.4419386,2.18,2.45
China,CHN,2023,YR2023,5.249557864,0.234836829,132.2291519,4.67,2560000000000.0,-20.51548023,0.240113517,55.63783544,2.47,2.74
China,CHN,2024,YR2024,5.600029309,0.218128938,132.5175819,4.571,2350000000000.0,-20.51548023,1.5023051079999998,55.19406732,2.47,2.74
United States,USA,2018,YR2018,2.966505069,2.442583297,115.1573032,3.896,2610000000000.0,-6.237259822,1.039454088,81.30206469,1.59,1.58
United States,USA,2019,YR2019,2.58382533,1.812210075,117.2441955,3.669,2570000000000.0,28.87806904,1.466965014,81.01027661,13.78,2.19
United States,USA,2020,YR2020,-2.163029139,1.233584396,118.6905016,8.055,2410000000000.0,16.25892199,0.641871902,81.51364808,1.52,1.55
United States,USA,2021,YR2021,6.055052933,4.697858864,124.2664138,5.349,2940000000000.0,26.89273629,2.009212298,82.29842181,1.47,1.57
United States,USA,2022,YR2022,2.51237532,8.002799821,134.2112062,3.65,3370000000000.0,-19.44282423,1.572590774,81.73745707,1.49,1.61
United States,USA,2023,YR2023,2.887556009,4.116338384,139.7357936,3.638,3170000000000.0,16.25892199,1.258207357,81.33530423,1.52,1.58
United States,USA,2024,YR2024,2.7356906695,2.949525205,143.857336,4.106,2775000000000.0,16.25892199,1.3625861855,81.42447615500001,1.52,1.58
